admin0,admin2,geocode match,parsed admin2
CMR,BAFIA,"Bafia, pk11, Mbam-et-Inoubou, Centre, Cameroun", Mbam-et-Inoubou
CMR,BIBEMI,"Bibemi, Bénoué, Nord, Cameroun", Bénoué
CMR,BIYEM-ASSI,"Biyem-Assi, Yaoundé VI, Communauté urbaine de Yaoundé, Mfoundi, Centre, Cameroun", Mfoundi
CMR,BONASSAMA,"Bonaberi, Douala IV, Communauté urbaine de Douala, Wouri, Cameroun", Communauté urbaine de Douala
CMR,BOURHA,"Bourha, Mayo-Tsanaga, Extrême-Nord, Cameroun", Mayo-Tsanaga
CMR,BUEA,"Buea, Fako, Southwest, Cameroun", Fako
CMR,CITE DES PALMIERS,"Cité Des Palmiers, Bassa, Douala V, Communauté urbaine de Douala, Wouri, Cameroun", Communauté urbaine de Douala
CMR,CITE VERTE,"Cité Verte, Yaoundé II, Communauté urbaine de Yaoundé, Mfoundi, Centre, Cameroun", Mfoundi
CMR,DEIDO,"Deido, Douala I, Communauté urbaine de Douala, Wouri, Cameroun", Communauté urbaine de Douala
CMR,EDEA,"Communauté urbaine d'Édéa, Sanaga-Maritime, Cameroun", Sanaga-Maritime
CMR,EFOULAN,"Efoulan, Ebolowa I, Communauté urbaine d'Ebolowa, Mvila, Sud, Cameroun", Mvila
CMR,FIGUIL,"Figuil, Mayo-Louti, Nord, Cameroun", Mayo-Louti
CMR,FOTOKOL,"Fotokol, Logone-et-Chari, Extrême-Nord, Cameroun", Logone-et-Chari
CMR,FOUMBAN,"Foumban, Noun, Ouest, Cameroun", Noun
CMR,FOUMBOT,"Foumbot, Noun, Ouest, Cameroun", Noun
CMR,GAROUA 1,"Garoua I, Communauté urbaine de Garoua, Bénoué, Nord, Cameroun", Bénoué
CMR,GAROUA 2,"Garoua II, Communauté urbaine de Garoua, Bénoué, Nord, Cameroun", Bénoué
CMR,GOLOMBE,"Golombe, Guider, Mayo-Louti, Nord, Cameroun", Mayo-Louti
CMR,GOULFEY,"Goulfey قولفي, Logone-et-Chari, Extrême-Nord, Cameroun", Logone-et-Chari
CMR,GUERE,"Guere, Guéré, Mayo-Danay, Extrême-Nord, Cameroun", Mayo-Danay
CMR,GUIDER,"Guider, Mayo-Louti, Nord, Cameroun", Mayo-Louti
CMR,GUIDIGUIS,"Guidiguis, Mayo-Kani, Extrême-Nord, Cameroun", Mayo-Kani
CMR,KAELE,"Kaele, Kaélé, Mayo-Kani, Extrême-Nord, Cameroun", Mayo-Kani
CMR,KOLOFATA,"Kolofata, Mayo-Sava, Extrême-Nord, Cameroun", Mayo-Sava
